Compounds,SMILES,Behavior,PickCount,PickFrequency_%,MDS1,MDS2
Capsaicin,OC1=C(OC)C=C(CNC(CCCC/C=C/C(C)C)=O)C=C1,Agonist,0,0.0,-0.4466139465929351,-0.0788235648272441
Dihydrocapsaicin,O=C(NCC1=CC=C(C(OC)=C1)O)CCCCCCC(C)C,Agonist,0,0.0,-0.5097156152630982,-0.10893208663282308
A-1165442,O=C(NC1=CC=CC2=C1C=C(C)N=C2)N[C@H]3C(C=CC(Cl)=C4)=C4OC(CF)(CF)C3,Antagonist,60,6.0,0.04982917314414728,0.10467013797907705
A425619,O=C(NCC1=CC=C(C(F)(F)F)C=C1)CC2=CC=CC3=CN=CC=C32,Antagonist,57,5.7,0.1865348945307675,0.0021266780689914353
A-784168,O=C(NC1=CC=C(S(=O)(C(F)(F)F)=O)C=C1)C(CC2)=CCN2C3=C(C(F)(F)F)C=CC=N3,Antagonist,56,5.6,0.24449361296837438,-0.25157941585258775
ABT-102,CC(C)(C1=CC(CC[C@@H]2NC(NC3=C4C=NNC4=CC=C3)=O)=C2C=C1)C,Antagonist,50,5.0,0.03823176079466545,0.03570598664523696
AMG-517,O=C(C)CC1=NC2=C(OC3=CC(C4=CC=C(C(F)(F)F)C=C4)=NC=N3)C=CC=C2S1,Antagonist,40,4.0,0.145953274274833,0.09075361369188512
AMG-7905,FC(F)(F)C(C=C1)=CC(NCC2CCCCC2)=C1C3=NC=NC(NC4=CC=C(N=CS5)C5=C4)=C3,Antagonist,101,10.1,0.18083500360719806,-0.11012293233817633
AMG 9810,O=C(/C=C/C1=CC=C(C(C)(C)C)C=C1)NC2=CC=C(OCCO3)C3=C2,Antagonist,52,5.2,-0.07393990994815562,0.15091171963063776
CAY10448,O=C(NCC1=C(I)C=C(C(OC)=C1)O)CCCCCCC(C)C,Antagonist,909,90.9,-0.5093318383667207,-0.10817405462050937
Capsazepine,OC1=C(O)C=C2C(CN(C(NCCC3=CC=C(Cl)C=C3)=S)CCC2)=C1,Antagonist,1000,100.0,-0.10085298937749597,-0.09342883208697625
JNJ-17203212,O=C(NC1=NC=C(C(F)(F)F)C=C1)N(CC2)CCN2C3=NC=CC=C3C(F)(F)F,Antagonist,64,6.4,0.27951361816459014,-0.30190861434658
JNJ-39439335 (Mavatrep),FC(F)(F)C(C=C1)=CC=C1/C=C/C2=NC3=CC=C(C4=CC=CC=C4C(C)(O)C)C=C3N2,Antagonist,236,23.6,0.19186822263096134,0.14381337010952494
NEO-6860,O=C(N[C@H](C1=CC=C(C(C)(C)C#N)C=C1)C)CN2C3=C(C#N)C=CC=C3N=C2,Antagonist,45,4.5,0.03666051133385077,0.19041171693975587
PAC-14028 (Asivatrep),CCCC1=NC(C(F)(F)F)=CC=C1CCC(N[C@H](C)C2=CC(F)=C(NS(C)(=O)=O)C(F)=C2)=O,Antagonist,94,9.4,0.012640357488093562,-0.0993867941903087
"PHE377 (V-377, PharmEste)",FC(F)(F)C1=CC=C(CNC(NC(C=C2)=CC=C2S(NCC3=CC(CO)=C(O)C=C3I)(=O)=O)=S)C=C1,Antagonist,1000,100.0,0.03392819446228121,-0.09632304816764842
SB 366791,O=C(NC1=CC(OC)=CC=C1)/C=C/C2=CC=C(Cl)C=C2,Antagonist,50,5.0,-0.009022373069087203,0.3603975806234635
SB 452533,O=C(NC1=C(Br)C=CC=C1)NCCN(C2=CC=CC(C)=C2)CC,Antagonist,45,4.5,-0.05439713067552593,-0.09267108142399548
SB 705498,O=C(NC1=CC=CC=C1Br)N[C@@H]2CCN(C3=NC=C(C(F)(F)F)C=C3)C2,Antagonist,44,4.4,0.18465750381930285,-0.2092248280907229
V-116517,O=C(N1CCC(C2=NC=C([C@H](O)CO)C=C2Cl)=CC1)NC3=NC=C(C(F)(F)F)C=C3,Antagonist,56,5.6,0.15488099626440502,-0.17873236697017242
SAF312(Libvatrep),CC(C1=NC2=C(C(N1C3=CC=C(C#N)C=C3)=O)C=CC(O)=C2)C,Antagonist,1000,100.0,0.04096503863209693,0.3340209737239098
Resiniferatoxin,O=C1C(C)=C[C@@]2([H])[C@@]1(O)CC(COC(CC3=CC=C(O)C(OC)=C3)=O)=C[C@@]4([H])[C@@]2(O5)[C@@H](C)C[C@]6(C(C)=C)[C@H]4OC5(CC7=CC=CC=C7)O6,Agonist,0,0.0,-0.16454333140943514,0.02133307176487613
PSFL2874,O=C(N/N=C/C1=C(Cl)C(Cl)=CC=C1)C2=C(O)C=C(C=CC=C3)C3=C2,Antagonist,41,4.1,0.08742497258688711,0.29516277037038685
