SMILES,Compounds,Behavior
OC1=C(OC)C=C(CNC(CCCC/C=C/C(C)C)=O)C=C1,Capsaicin,Agonist
O=C(NCC1=CC=C(C(OC)=C1)O)CCCCCCC(C)C,Dihydrocapsaicin,Agonist
O=C(NC1=CC=CC2=C1C=C(C)N=C2)N[C@H]3C(C=CC(Cl)=C4)=C4OC(CF)(CF)C3,A-1165442,Antagonist
O=C(NCC1=CC=C(C(F)(F)F)C=C1)CC2=CC=CC3=CN=CC=C32,A425619,Antagonist
O=C(NC1=CC=C(S(=O)(C(F)(F)F)=O)C=C1)C(CC2)=CCN2C3=C(C(F)(F)F)C=CC=N3,A-784168,Antagonist
CC(C)(C1=CC(CC[C@@H]2NC(NC3=C4C=NNC4=CC=C3)=O)=C2C=C1)C,ABT-102,Antagonist
O=C(C)CC1=NC2=C(OC3=CC(C4=CC=C(C(F)(F)F)C=C4)=NC=N3)C=CC=C2S1,AMG-517,Antagonist
FC(F)(F)C(C=C1)=CC(NCC2CCCCC2)=C1C3=NC=NC(NC4=CC=C(N=CS5)C5=C4)=C3,AMG-7905,Antagonist
O=C(/C=C/C1=CC=C(C(C)(C)C)C=C1)NC2=CC=C(OCCO3)C3=C2,AMG 9810,Antagonist
O=C(NCC1=C(I)C=C(C(OC)=C1)O)CCCCCCC(C)C,CAY10448,Antagonist
OC1=C(O)C=C2C(CN(C(NCCC3=CC=C(Cl)C=C3)=S)CCC2)=C1,Capsazepine,Antagonist
O=C(NC1=NC=C(C(F)(F)F)C=C1)N(CC2)CCN2C3=NC=CC=C3C(F)(F)F,JNJ-17203212,Antagonist
FC(F)(F)C(C=C1)=CC=C1/C=C/C2=NC3=CC=C(C4=CC=CC=C4C(C)(O)C)C=C3N2,JNJ-39439335 (Mavatrep),Antagonist
O=C(N[C@H](C1=CC=C(C(C)(C)C#N)C=C1)C)CN2C3=C(C#N)C=CC=C3N=C2,NEO-6860,Antagonist
CCCC1=NC(C(F)(F)F)=CC=C1CCC(N[C@H](C)C2=CC(F)=C(NS(C)(=O)=O)C(F)=C2)=O,PAC-14028 (Asivatrep),Antagonist
FC(F)(F)C1=CC=C(CNC(NC(C=C2)=CC=C2S(NCC3=CC(CO)=C(O)C=C3I)(=O)=O)=S)C=C1,"PHE377 (V-377, PharmEste)",Antagonist
O=C(NC1=CC(OC)=CC=C1)/C=C/C2=CC=C(Cl)C=C2,SB 366791,Antagonist
O=C(NC1=C(Br)C=CC=C1)NCCN(C2=CC=CC(C)=C2)CC,SB 452533,Antagonist
O=C(NC1=CC=CC=C1Br)N[C@@H]2CCN(C3=NC=C(C(F)(F)F)C=C3)C2,SB 705498,Antagonist
O=C(N1CCC(C2=NC=C([C@H](O)CO)C=C2Cl)=CC1)NC3=NC=C(C(F)(F)F)C=C3,V-116517,Antagonist
CC(C1=NC2=C(C(N1C3=CC=C(C#N)C=C3)=O)C=CC(O)=C2)C,SAF312(Libvatrep),Antagonist
O=C1C(C)=C[C@@]2([H])[C@@]1(O)CC(COC(CC3=CC=C(O)C(OC)=C3)=O)=C[C@@]4([H])[C@@]2(O5)[C@@H](C)C[C@]6(C(C)=C)[C@H]4OC5(CC7=CC=CC=C7)O6,Resiniferatoxin,Agonist
O=C(N/N=C/C1=C(Cl)C(Cl)=CC=C1)C2=C(O)C=C(C=CC=C3)C3=C2,PSFL2874,Antagonist
