Compounds,Capsaicin,Dihydrocapsaicin,A-1165442,A425619,A-784168,ABT-102,AMG-517,AMG-7905,AMG 9810,CAY10448,Capsazepine,JNJ-17203212,JNJ-39439335 (Mavatrep),NEO-6860,PAC-14028 (Asivatrep),"PHE377 (V-377, PharmEste)",SB 366791,SB 452533,SB 705498,V-116517,SAF312(Libvatrep),Resiniferatoxin,PSFL2874
Capsaicin,0.0,0.23428571428571432,0.7719869706840391,0.7692307692307692,0.8387096774193549,0.703862660944206,0.8338870431893688,0.8272727272727273,0.7136563876651982,0.36764705882352944,0.7203389830508475,0.8475177304964538,0.842911877394636,0.8038585209003215,0.7887323943661972,0.8369565217391304,0.8028846153846154,0.6883116883116883,0.7992831541218638,0.8141592920353982,0.8825910931174089,0.7598343685300207,0.808695652173913
Dihydrocapsaicin,0.23428571428571432,0.0,0.7987220447284344,0.8165938864628821,0.8710691823899371,0.7458333333333333,0.8562091503267975,0.8373493975903614,0.7292576419213974,0.18579234972677594,0.7714285714285715,0.875,0.8892988929889298,0.8513931888544892,0.788135593220339,0.8490566037735849,0.8465116279069768,0.7416666666666667,0.8442906574394464,0.8376811594202899,0.8911290322580645,0.7720739219712526,0.8672199170124482
A-1165442,0.7719869706840391,0.7987220447284344,0.0,0.6705882352941177,0.7658959537572254,0.6231343283582089,0.7522388059701492,0.7175141242937852,0.684981684981685,0.8165680473372781,0.801948051948052,0.7711598746081505,0.7941176470588236,0.7703081232492998,0.7289002557544757,0.8325471698113207,0.6666666666666667,0.7328767123287672,0.7156549520766773,0.7493333333333334,0.8528428093645485,0.7868852459016393,0.7416974169741697
A425619,0.7692307692307692,0.8165938864628821,0.6705882352941177,0.0,0.6583333333333333,0.5414364640883977,0.6848739495798319,0.6420233463035019,0.6770833333333333,0.83399209486166,0.7889908256880733,0.6267942583732058,0.7058823529411764,0.7300380228136882,0.7395498392282958,0.75,0.7365269461077844,0.7440758293838863,0.6561085972850679,0.7183098591549295,0.8390243902439024,0.8666666666666667,0.6888888888888889
A-784168,0.8387096774193549,0.8710691823899371,0.7658959537572254,0.6583333333333333,0.0,0.7292418772563176,0.7885196374622356,0.7369942196531791,0.7872340425531915,0.8833819241982508,0.8187919463087249,0.4817813765182186,0.75177304964539,0.8469945355191257,0.736842105263158,0.7519582245430809,0.8587786259541985,0.7437722419928825,0.6538461538461539,0.7048710601719197,0.8835616438356164,0.8573943661971831,0.8175182481751825
ABT-102,0.703862660944206,0.7458333333333333,0.6231343283582089,0.5414364640883977,0.7292418772563176,0.0,0.7481751824817517,0.6840277777777778,0.607843137254902,0.7595419847328244,0.7851239669421488,0.7217741935483871,0.7542372881355932,0.6468401486988847,0.6934984520123839,0.7931034482758621,0.7315789473684211,0.6711711711711712,0.6260504201680672,0.7412140575079873,0.8193832599118943,0.8084677419354839,0.7452830188679245
AMG-517,0.8338870431893688,0.8562091503267975,0.7522388059701492,0.6848739495798319,0.7885196374622356,0.7481751824817517,0.0,0.6237942122186495,0.7192307692307692,0.8666666666666667,0.8790849673202614,0.7880794701986755,0.6442687747035574,0.8063583815028902,0.7860824742268041,0.8419753086419753,0.8306451612903226,0.8178694158075601,0.7987220447284344,0.8027027027027027,0.8597122302158273,0.8148148148148149,0.8113207547169812
AMG-7905,0.8272727272727273,0.8373493975903614,0.7175141242937852,0.6420233463035019,0.7369942196531791,0.6840277777777778,0.6237942122186495,0.0,0.765886287625418,0.848314606741573,0.815625,0.7032258064516129,0.7366666666666667,0.8184210526315789,0.7512315270935961,0.7652811735941321,0.8719723183391004,0.8235294117647058,0.6878980891719746,0.7192513368983957,0.886435331230284,0.8404802744425386,0.8181818181818181
AMG 9810,0.7136563876651982,0.7292576419213974,0.684981684981685,0.6770833333333333,0.7872340425531915,0.607843137254902,0.7192307692307692,0.765886287625418,0.0,0.7450199203187251,0.8166666666666667,0.7913385826771654,0.7914893617021277,0.7959183673469388,0.7774480712166172,0.7941176470588236,0.6,0.7276785714285714,0.7665369649805447,0.8256880733944953,0.8533333333333333,0.7664543524416136,0.780952380952381
CAY10448,0.36764705882352944,0.18579234972677594,0.8165680473372781,0.83399209486166,0.8833819241982508,0.7595419847328244,0.8666666666666667,0.848314606741573,0.7450199203187251,0.0,0.7873134328358209,0.8952380952380953,0.9057239057239057,0.8583815028901733,0.8015873015873016,0.8255208333333334,0.8666666666666667,0.7744360902255639,0.8634920634920635,0.845108695652174,0.9007352941176471,0.7779960707269156,0.875
